날짜,순위,제목,가수
2024-10-19,39,Love me or Leave me,DAY6 (데이식스)
2024-10-19,40,주저하는 연인들을 위해,잔나비
2024-10-19,41,I AM,IVE (아이브)
2024-10-19,42,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-10-19,43,그녀가 웃었다,DAY6 (데이식스)
2024-10-19,44,Ditto,NewJeans
2024-10-19,45,숲,최유리
2024-10-19,46,ETA,NewJeans
2024-10-19,47,Gravity,FIFTY FIFTY
2024-10-19,48,Congratulations,DAY6 (데이식스)
2024-10-19,49,밤양갱,비비(BIBI)
2024-10-19,50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-10-19,51,비의 랩소디,임재현
2024-10-19,52,Touch,KATSEYE
2024-10-19,53,Attention,NewJeans
2024-10-19,54,To. X,태연 (TAEYEON)
2024-10-19,55,청춘만화,이무진
2024-10-19,56,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-10-19,57,Electric Shock,강다니엘(KANG DANIEL)
2024-10-19,58,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-10-19,59,헤어지자 말해요,박재정
2024-10-19,60,CRAZY,LE SSERAFIM (르세라핌)
2024-10-19,61,너의 모든 순간,성시경
2024-10-19,62,SPOT! (feat. JENNIE),지코 (ZICO)
2024-10-19,63,아직 거기 살아,DAY6 (데이식스)
2024-10-19,64,인사,범진
2024-10-19,65,Boom Boom Bass,RIIZE
2024-10-19,66,Super Shy,NewJeans
2024-10-19,67,Live My Life,aespa
2024-10-19,68,미안해 미워해 사랑해,Crush
2024-10-19,69,슬픈 초대장,순순희 (지환)
2024-10-19,70,태양물고기,윤하(Younha/ユンナ)
2024-10-19,71,After LIKE,IVE (아이브)
2024-10-19,72,사랑인가 봐,멜로망스(MeloMance)
2024-10-19,73,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-10-19,74,사랑은 늘 도망가,임영웅
2024-10-19,75,사건의 지평선,윤하(Younha/ユンナ)
2024-10-19,76,Drama,aespa
2024-10-19,77,청혼하지 않을 이유를 못 찾았어,이무진
2024-10-19,78,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-10-19,79,Girls Never Die,tripleS (트리플에스)
2024-10-19,80,Spicy,aespa
2024-10-19,81,Cosmic,Red Velvet (레드벨벳)
2024-10-19,82,오래된 노래,허각
2024-10-19,83,New Jeans,NewJeans
2024-10-19,84,Get A Guitar,RIIZE
2024-10-19,85,Love Lee,AKMU(악뮤)
2024-10-19,86,LOVE DIVE,IVE (아이브)
2024-10-19,87,Dangerously,Charlie Puth(찰리 푸스)
2024-10-19,88,OMG,NewJeans
2024-10-19,89,SHEESH,BABYMONSTER
2024-10-19,90,Blue Moon,엔플라잉(N.Flying)
2024-10-19,91,그랬나봐,유회승 (엔플라잉)
2024-10-19,92,Seven (feat. Latto) - Clean Ver.,정국
2024-10-19,93,MANIAC,VIVIZ (비비지)
2024-10-19,94,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2024-10-19,95,LOVE ATTACK,RESCENE (리센느)
2024-10-19,96,Accendio,IVE (아이브)
2024-10-19,97,꿈,태연 (TAEYEON)
2024-10-19,98,도와줘요 Rock&Roll,DAY6 (데이식스)
2024-10-19,99,Right Now,NewJeans
2024-10-19,100,괴물,DAY6 (데이식스)
2024-10-20,1,APT.,로제(ROSÉ)
2024-10-20,2,Mantra,제니 (JENNIE)
2024-10-20,3,UP (KARINA Solo),aespa
2024-10-20,4,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-10-20,5,HAPPY,DAY6 (데이식스)
2024-10-20,6,내 이름 맑음,QWER
2024-10-20,7,Supernova,aespa
2024-10-20,8,녹아내려요,DAY6 (데이식스)
2024-10-20,9,Welcome to the Show,DAY6 (데이식스)
2024-10-20,10,Supersonic,프로미스나인
2024-10-20,11,고민중독,QWER
2024-10-20,12,Supernatural,NewJeans
2024-10-20,13,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-10-20,14,Drowning,WOODZ
2024-10-20,15,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-10-20,16,달랐을까,PLAVE
2024-10-20,17,MEOW,MEOVV (미야오)
2024-10-20,18,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-10-20,19,How Sweet,NewJeans
2024-10-20,20,Small girl (feat. 도경수(D.O.)),이영지
2024-10-20,21,네모네모,YENA (최예나)
2024-10-20,22,Armageddon,aespa
2024-10-20,23,소나기,이클립스 (ECLIPSE)
2024-10-20,24,예뻤어,DAY6 (데이식스)
2024-10-20,25,Sticky,KISS OF LIFE
2024-10-20,26,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-10-20,27,SOS,FIFTY FIFTY
2024-10-20,28,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-10-20,29,천상연,이창섭
2024-10-20,30,Magnetic,아일릿(ILLIT)
2024-10-20,31,클락션 (Klaxon),(여자)아이들
2024-10-20,32,Bubble Gum,NewJeans
2024-10-20,33,별별별 (See that?),NMIXX
2024-10-20,34,에피소드,이무진
2024-10-20,35,Love wins all,아이유(IU)
2024-10-20,36,Gravity,FIFTY FIFTY
2024-10-20,37,Love me or Leave me,DAY6 (데이식스)
2024-10-20,38,해야 (HEYA),IVE (아이브)
2024-10-20,39,Congratulations,DAY6 (데이식스)
2024-10-20,40,Hype Boy,NewJeans
2024-10-20,41,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-10-20,42,그녀가 웃었다,DAY6 (데이식스)
2024-10-20,43,밤양갱,비비(BIBI)
2024-10-20,44,청춘만화,이무진
2024-10-20,45,Ditto,NewJeans
2024-10-20,46,Touch,KATSEYE
2024-10-20,47,주저하는 연인들을 위해,잔나비
2024-10-20,48,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-10-20,49,I AM,IVE (아이브)
2024-10-20,50,숲,최유리
2024-10-20,51,To. X,태연 (TAEYEON)
2024-10-20,52,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-10-20,53,ETA,NewJeans
2024-10-20,54,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-10-20,55,비의 랩소디,임재현
2024-10-20,56,Attention,NewJeans
2024-10-20,57,CRAZY,LE SSERAFIM (르세라핌)
2024-10-20,58,SPOT! (feat. JENNIE),지코 (ZICO)
2024-10-20,59,너의 모든 순간,성시경
2024-10-20,60,Live My Life,aespa
2024-10-20,61,헤어지자 말해요,박재정
2024-10-20,62,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-10-20,63,태양물고기,윤하(Younha/ユンナ)
2024-10-20,64,인사,범진
2024-10-20,65,아직 거기 살아,DAY6 (데이식스)
2024-10-20,66,Boom Boom Bass,RIIZE
2024-10-20,67,미안해 미워해 사랑해,Crush
2024-10-20,68,Super Shy,NewJeans
2024-10-20,69,사건의 지평선,윤하(Younha/ユンナ)
2024-10-20,70,슬픈 초대장,순순희 (지환)
2024-10-20,71,사랑인가 봐,멜로망스(MeloMance)
2024-10-20,72,After LIKE,IVE (아이브)
2024-10-20,73,LOVE DIVE,IVE (아이브)
2024-10-20,74,Drama,aespa
2024-10-20,75,Girls Never Die,tripleS (트리플에스)
2024-10-20,76,오래된 노래,허각
2024-10-20,77,OMG,NewJeans
2024-10-20,78,Cosmic,Red Velvet (레드벨벳)
2024-10-20,79,Spicy,aespa
2024-10-20,80,청혼하지 않을 이유를 못 찾았어,이무진
2024-10-20,81,Blue Moon,엔플라잉(N.Flying)
2024-10-20,82,New Jeans,NewJeans
2024-10-20,83,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-10-20,84,Dangerously,Charlie Puth(찰리 푸스)
2024-10-20,85,SHEESH,BABYMONSTER
2024-10-20,86,Get A Guitar,RIIZE
2024-10-20,87,MANIAC,VIVIZ (비비지)
2024-10-20,88,사랑은 늘 도망가,임영웅
2024-10-20,89,Accendio,IVE (아이브)
2024-10-20,90,LOVE ATTACK,RESCENE (리센느)
2024-10-20,91,그랬나봐,유회승 (엔플라잉)
2024-10-20,92,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2024-10-20,93,Love Lee,AKMU(악뮤)
